section,field_key,field_label,question_text,response_type,options_pipe_delimited,show_if,display_order
dog_demographics_optional,dog_name,Кличка собаки,Как зовут вашу собаку?,text,,consent_dog_data = yes,1
dog_demographics_optional,dog_age_years,Возраст собаки (лет),"Сколько лет вашей собаке? Если вы не уверены, укажите примерную оценку. Полных лет:",number,,consent_dog_data = yes,2
dog_demographics_optional,dog_age_months,Возраст собаки (месяцев),Дополнительных месяцев:,number,,consent_dog_data = yes,3
dog_demographics_optional,dog_lives_with_you,Время жизни с опекуном,Как долго эта собака живет с вами?,single_select,До одного месяца|До 6 месяцев|До одного года|Больше одного года,consent_dog_data = yes,4
dog_demographics_optional,dog_sex,Пол собаки,Пол вашей собаки?,single_select,Мужской|Женский,consent_dog_data = yes,5
dog_demographics_optional,dog_neuter_status,Стерилизация/кастрация,Собака кастрирована/стерилизована?,single_select,Да|Нет|Не уверена/не уверен,consent_dog_data = yes,6
dog_demographics_optional,dog_breed,Порода,"Какая порода вашей собаки? Если собака не принадлежит к конкретной породе, напишите «метис».",text,,consent_dog_data = yes,7
dog_demographics_optional,dog_weight,Примерный вес,Какой примерный вес вашей собаки?,single_select,До 5 кг|5-9 кг|9-20 кг|20-30 кг|30-40 кг|40-50 кг|Больше 50 кг|Я не знаю,consent_dog_data = yes,8
dog_demographics_optional,dogs_in_household,Собаки в доме,Сколько собак живет в вашем доме (включая эту собаку)?,number,,consent_dog_data = yes,9
dog_demographics_optional,other_animals,Другие животные в доме,"Есть ли у вас другие животные (кроме собак), которые живут с вами?",single_select_plus_text,"Нет|Да (пожалуйста, перечислите виды)",consent_dog_data = yes,10
human_demographics_optional,human_living_with_dogs_years,Собаки в вашей жизни,"Сколько лет в вашей жизни присутствуют собаки (в вашем доме, семье или близком окружении)?",single_select,Меньше одного года|1-3 года|4-10 лет|Больше 10 лет,consent_human_data = yes,1
human_demographics_optional,human_dog_activity,"Деятельность, связанная с собаками","Вы занимаетесь какой-либо профессиональной или непрофессиональной деятельностью, связанной с собаками?",single_select_plus_multiselect,Да|Нет,consent_human_data = yes,2
human_demographics_optional,human_dog_activity_types,Тип деятельности,Выберите из списка,multi_select,Ветеринарный врач|Тренер/кинолог|Специалист по поведению собак|Исследователь/исследовательница в области собак|Грумер|Догситтер / выгульщик собак|Волонтер|Другое,consent_human_data = yes AND human_dog_activity = Yes,3
human_demographics_optional,human_work_with_dogs_years,Стаж работы с собаками,Сколько лет вы профессионально работаете с собаками?,single_select,Меньше одного года|1-3 года|3-10 лет|Больше 10 лет,consent_human_data = yes AND human_dog_activity = Yes,4
human_demographics_optional,human_education,Образование,Ваш уровень образования?,single_select,"Неполное среднее или ниже|Среднее образование|Некоторое высшее/колледж без степени|Среднее специальное или техническое образование|Бакалавриат/специалитет|Магистратура, аспирантура или профессиональная степень|Предпочитаю не отвечать",consent_human_data = yes,5
human_demographics_optional,human_age_band,Возраст,Сколько вам лет?,single_select,18-24 года|25-34 года|35-44 года|45-54 года|55-64 года|65+ лет|Предпочитаю не отвечать,consent_human_data = yes,6
human_demographics_optional,human_gender,Гендер,Как вы описываете себя?,single_select,Мужчина|Женщина|Небинарный/третий гендер|Предпочитаю описать самостоятельно|Предпочитаю не отвечать,consent_human_data = yes,7
human_demographics_optional,future_contact,Разрешение на будущую связь,Хотите получать уведомления о будущих исследованиях или обновления о результатах исследования?,single_select,Нет|Да,consent_human_data = yes,8
human_demographics_optional,contact_name,Имя для связи,Как вас зовут (имя и фамилия)?,text,,consent_human_data = yes AND future_contact = Yes,9
human_demographics_optional,contact_email,Email,Ваш адрес электронной почты?,email,,consent_human_data = yes AND future_contact = Yes,10
general_health_module,gh_symptoms,Симптомы общего здоровья,Замечали ли вы у вашей собаки в последнее время следующие перемены:,multi_select,"Качество шерсти ухудшилось (тусклая, выцветшая, выпадает, перхоть и т.п.)|Значительно потеряла вес|Неприятный запах тела или из пасти|Появились проблемы с желудком/кишечником (запор, диарея, рвота и т.п.)|Для сук: необычное поведение во время течки или изменения частоты течки|Для кобелей: заметное возбуждение без присутствия сук в течке или их запаха|Другое (пожалуйста, опишите)|Нет, ничего похожего",,1
general_health_module,gh_length,Длительность признаков общего здоровья,Когда вы впервые это заметили?,single_select,Меньше недели назад|Меньше месяца назад|Больше месяца назад|Бывает по-разному / другое,,2
